:Mots:Transcription Phonétique:Genre Grammatical:Paires Minimales
1:('aède', 'alde'):('aɛd', 'ald'):('Nom', 'Nom'):('ɛ', 'l')
8695:('bouillant', 'bouilli'):('bujɑ̃', 'buji'):('Nom', 'Nom'):('ɑ̃', 'i')
8696:('bouillant', 'bouillon'):('bujɑ̃', 'bujɔ̃'):('Nom', 'Nom'):('ɑ̃', 'ɔ̃')
8697:('bouillant', 'mouillant'):('bujɑ̃', 'mujɑ̃'):('Nom', 'Nom'):('b', 'm')
8698:('bouiller', 'bouillet'):('buje', 'bujɛ'):('Verbe infinitif', 'Nom'):('e', 'ɛ')
8699:('bouiller', 'bouilli'):('buje', 'buji'):('Verbe infinitif', 'Nom'):('e', 'i')
8700:('bouiller', 'bouillon'):('buje', 'bujɔ̃'):('Verbe infinitif', 'Nom'):('e', 'ɔ̃')
8701:('bouiller', 'bouler'):('buje', 'bule'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8702:('bouiller', 'boumer'):('buje', 'bume'):('Verbe infinitif', 'Verbe infinitif'):('j', 'm')
8703:('bouiller', 'bourrer'):('buje', 'buʁe'):('Verbe infinitif', 'Verbe infinitif'):('j', 'ʁ')
8704:('bouiller', 'bouser'):('buje', 'buze'):('Verbe infinitif', 'Verbe infinitif'):('j', 'z')
8705:('bouiller', 'bouter'):('buje', 'bute'):('Verbe infinitif', 'Verbe infinitif'):('j', 't')
8706:('bouiller', 'chouiller'):('buje', 'ʃuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʃ')
8707:('bouiller', 'couiller'):('buje', 'kuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
8708:('bouiller', 'douiller'):('buje', 'duje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'd')
8709:('bouiller', 'fouiller'):('buje', 'fuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
8710:('bouiller', 'mouiller'):('buje', 'muje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'm')
8711:('bouiller', 'pouillé'):('buje', 'puje'):('Verbe infinitif', 'Nom'):('b', 'p')
8712:('bouiller', 'pouiller'):('buje', 'puje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8713:('bouiller', 'rouiller'):('buje', 'ʁuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
8714:('bouiller', 'souiller'):('buje', 'suje'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
8715:('bouiller', 'touiller'):('buje', 'tuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 't')
8716:('bouiller', 'zouiller'):('buje', 'zuje'):('Verbe infinitif', 'Verbe infinitif'):('b', 'z')
8717:('bouillet', 'bouilli'):('bujɛ', 'buji'):('Nom', 'Nom'):('ɛ', 'i')
8718:('bouillet', 'bouillon'):('bujɛ', 'bujɔ̃'):('Nom', 'Nom'):('ɛ', 'ɔ̃')
8719:('bouillet', 'boulet'):('bujɛ', 'bulɛ'):('Nom', 'Nom'):('j', 'l')
8720:('bouillet', 'boulin'):('bujɛ', 'bulɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8721:('bouillet', 'bouquet'):('bujɛ', 'bukɛ'):('Nom', 'Nom'):('j', 'k')
8722:('bouillet', 'bouquin'):('bujɛ', 'bukɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8723:('bouillet', 'bourret'):('bujɛ', 'buʁɛ'):('Nom', 'Nom'):('j', 'ʁ')
8724:('bouillet', 'bourrin'):('bujɛ', 'buʁɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8725:('bouillet', 'bousin'):('bujɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8726:('bouillet', 'bouvet'):('bujɛ', 'buvɛ'):('Nom', 'Nom'):('j', 'v')
8727:('bouillet', 'bouzin'):('bujɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8728:('bouillet', 'fouillet'):('bujɛ', 'fujɛ'):('Nom', 'Nom'):('b', 'f')
8729:('bouilleur', 'bouillir'):('bujœʁ', 'bujiʁ'):('Nom', 'Verbe infinitif'):('œ', 'i')
8730:('bouilleur', 'bouleur'):('bujœʁ', 'bulœʁ'):('Nom', 'Nom'):('j', 'l')
8731:('bouilleur', 'bouteur'):('bujœʁ', 'butœʁ'):('Nom', 'Nom'):('j', 't')
8732:('bouilleur', 'fouilleur'):('bujœʁ', 'fujœʁ'):('Nom', 'Nom'):('b', 'f')
8733:('bouilleur', 'touilleur'):('bujœʁ', 'tujœʁ'):('Nom', 'Nom'):('b', 't')
8734:('bouilli', 'bouillon'):('buji', 'bujɔ̃'):('Nom', 'Nom'):('i', 'ɔ̃')
8735:('bouilli', 'boutis'):('buji', 'buti'):('Nom', 'Nom'):('j', 't')
8736:('bouilli', 'fouillis'):('buji', 'fuji'):('Nom', 'Nom'):('b', 'f')
8737:('bouilloir', 'bouloir'):('bujwaʁ', 'bulwaʁ'):('Nom', 'Nom'):('j', 'l')
8738:('bouilloir', 'bourroir'):('bujwaʁ', 'buʁwaʁ'):('Nom', 'Nom'):('j', 'ʁ')
8739:('bouilloir', 'boutoir'):('bujwaʁ', 'butwaʁ'):('Nom', 'Nom'):('j', 't')
8740:('bouilloir', 'mouilloir'):('bujwaʁ', 'mujwaʁ'):('Nom', 'Nom'):('b', 'm')
8741:('bouillonné', 'bouilloter'):('bujɔne', 'bujɔte'):('Nom', 'Verbe infinitif'):('n', 't')
8742:('bouillonné', 'bouillotter'):('bujɔne', 'bujɔte'):('Nom', 'Verbe infinitif'):('n', 't')
8743:('bouillonné', 'boulonner'):('bujɔne', 'bulɔne'):('Nom', 'Verbe infinitif'):('j', 'l')
8744:('bouillonné', 'boutonner'):('bujɔne', 'butɔne'):('Nom', 'Verbe infinitif'):('j', 't')
8745:('bouillonné', 'couillonner'):('bujɔne', 'kujɔne'):('Nom', 'Verbe infinitif'):('b', 'k')
8746:('bouillonné', 'souillonner'):('bujɔne', 'sujɔne'):('Nom', 'Verbe infinitif'):('b', 's')
8747:('bouillon', 'boujon'):('bujɔ̃', 'buʒɔ̃'):('Nom', 'Nom'):('j', 'ʒ')
8748:('bouillon', 'boulon'):('bujɔ̃', 'bulɔ̃'):('Nom', 'Nom'):('j', 'l')
8749:('bouillon', 'bouton'):('bujɔ̃', 'butɔ̃'):('Nom', 'Nom'):('j', 't')
8750:('bouillon', 'couillon'):('bujɔ̃', 'kujɔ̃'):('Nom', 'Nom'):('b', 'k')
8751:('bouillon', 'douillon'):('bujɔ̃', 'dujɔ̃'):('Nom', 'Nom'):('b', 'd')
8752:('bouillon', 'souillon'):('bujɔ̃', 'sujɔ̃'):('Nom', 'Nom'):('b', 's')
8753:('bouillonner', 'bouilloter'):('bujɔne', 'bujɔte'):('Verbe infinitif', 'Verbe infinitif'):('n', 't')
8754:('bouillonner', 'bouillotter'):('bujɔne', 'bujɔte'):('Verbe infinitif', 'Verbe infinitif'):('n', 't')
8755:('bouillonner', 'boulonner'):('bujɔne', 'bulɔne'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8756:('bouillonner', 'boutonner'):('bujɔne', 'butɔne'):('Verbe infinitif', 'Verbe infinitif'):('j', 't')
8757:('bouillonner', 'couillonner'):('bujɔne', 'kujɔne'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
8758:('bouillonner', 'souillonner'):('bujɔne', 'sujɔne'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
8759:('bouilloter', 'bouloter'):('bujɔte', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8760:('bouilloter', 'boulotter'):('bujɔte', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8761:('bouillotter', 'bouloter'):('bujɔte', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8762:('bouillotter', 'boulotter'):('bujɔte', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('j', 'l')
8763:('bouiner', 'chouiner'):('bwine', 'ʃwine'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʃ')
8764:('bouiner', 'couiner'):('bwine', 'kwine'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
8765:('bouiner', 'fouiner'):('bwine', 'fwine'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
8766:('bouiner', 'gouiner'):('bwine', 'gwine'):('Verbe infinitif', 'Verbe infinitif'):('b', 'g')
8767:('boujon', 'boulon'):('buʒɔ̃', 'bulɔ̃'):('Nom', 'Nom'):('ʒ', 'l')
8768:('boujon', 'bouton'):('buʒɔ̃', 'butɔ̃'):('Nom', 'Nom'):('ʒ', 't')
8769:('boujon', 'goujon'):('buʒɔ̃', 'guʒɔ̃'):('Nom', 'Nom'):('b', 'g')
8770:('boulage', 'boulard'):('bulaʒ', 'bulaʁ'):('Nom', 'Nom'):('ʒ', 'ʁ')
8771:('boulage', 'bourrage'):('bulaʒ', 'buʁaʒ'):('Nom', 'Nom'):('l', 'ʁ')
8772:('boulage', 'coulage'):('bulaʒ', 'kulaʒ'):('Nom', 'Nom'):('b', 'k')
8773:('boulage', 'foulage'):('bulaʒ', 'fulaʒ'):('Nom', 'Nom'):('b', 'f')
8774:('boulage', 'moulage'):('bulaʒ', 'mulaʒ'):('Nom', 'Nom'):('b', 'm')
8775:('boulage', 'roulage'):('bulaʒ', 'ʁulaʒ'):('Nom', 'Nom'):('b', 'ʁ')
8776:('boulangisme', 'boulangiste'):('bulɑ̃ʒism', 'bulɑ̃ʒist'):('Nom', 'Nom'):('m', 't')
8777:('boulard', 'bouleur'):('bulaʁ', 'bulœʁ'):('Nom', 'Nom'):('a', 'œ')
8778:('boulard', 'boussard'):('bulaʁ', 'busaʁ'):('Nom', 'Nom'):('l', 's')
8779:('boulard', 'bouvard'):('bulaʁ', 'buvaʁ'):('Nom', 'Nom'):('l', 'v')
8780:('boulard', 'foulard'):('bulaʁ', 'fulaʁ'):('Nom', 'Nom'):('b', 'f')
8781:('boulard', 'soûlard'):('bulaʁ', 'sulaʁ'):('Nom', 'Nom'):('b', 's')
8782:('boulard', 'soulard'):('bulaʁ', 'sulaʁ'):('Nom', 'Nom'):('b', 's')
8783:('bouleau', 'bouler'):('bulo', 'bule'):('Nom', 'Verbe infinitif'):('o', 'e')
8784:('bouleau', 'boulet'):('bulo', 'bulɛ'):('Nom', 'Nom'):('o', 'ɛ')
8785:('bouleau', 'boulin'):('bulo', 'bulɛ̃'):('Nom', 'Nom'):('o', 'ɛ̃')
8786:('bouleau', 'boulon'):('bulo', 'bulɔ̃'):('Nom', 'Nom'):('o', 'ɔ̃')
8787:('bouleau', 'bourreau'):('bulo', 'buʁo'):('Nom', 'Nom'):('l', 'ʁ')
8788:('bouleau', 'bulot'):('bulo', 'bylo'):('Nom', 'Nom'):('u', 'y')
8789:('bouleau', 'goulot'):('bulo', 'gulo'):('Nom', 'Nom'):('b', 'g')
8790:('bouleau', 'mouleau'):('bulo', 'mulo'):('Nom', 'Nom'):('b', 'm')
8791:('bouleau', 'rouleau'):('bulo', 'ʁulo'):('Nom', 'Nom'):('b', 'ʁ')
8792:('bouleau', 'saoulot'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8793:('bouleau', 'soûlot'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8794:('bouleau', 'soulaud'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8795:('boule', 'boum'):('bul', 'bum'):('Nom', 'Nom'):('l', 'm')
8796:('boule', 'boure'):('bul', 'buʁ'):('Nom', 'Nom'):('l', 'ʁ')
8797:('boule', 'bourg'):('bul', 'buʁ'):('Nom', 'Nom'):('l', 'ʁ')
8798:('boule', 'bourre'):('bul', 'buʁ'):('Nom', 'Nom'):('l', 'ʁ')
8799:('boule', 'bulle'):('bul', 'byl'):('Nom', 'Nom'):('u', 'y')
8800:('boule', 'bull'):('bul', 'byl'):('Nom', 'Nom'):('u', 'y')
8801:('boule', 'bush'):('bul', 'buʃ'):('Nom', 'Nom'):('l', 'ʃ')
8802:('boule', 'full'):('bul', 'ful'):('Nom', 'Nom'):('b', 'f')
8803:('boule', 'joule'):('bul', 'ʒul'):('Nom', 'Nom'):('b', 'ʒ')
8804:('boule', 'moule'):('bul', 'mul'):('Nom', 'Nom'):('b', 'm')
8805:('boule', 'pool'):('bul', 'pul'):('Nom', 'Nom'):('b', 'p')
8806:('bouler', 'boulet'):('bule', 'bulɛ'):('Verbe infinitif', 'Nom'):('e', 'ɛ')
8807:('bouler', 'boulin'):('bule', 'bulɛ̃'):('Verbe infinitif', 'Nom'):('e', 'ɛ̃')
8808:('bouler', 'boulon'):('bule', 'bulɔ̃'):('Verbe infinitif', 'Nom'):('e', 'ɔ̃')
8809:('bouler', 'boulot'):('bule', 'bulo'):('Verbe infinitif', 'Nom'):('e', 'o')
8810:('bouler', 'boumer'):('bule', 'bume'):('Verbe infinitif', 'Verbe infinitif'):('l', 'm')
8811:('bouler', 'bourrer'):('bule', 'buʁe'):('Verbe infinitif', 'Verbe infinitif'):('l', 'ʁ')
8812:('bouler', 'bouser'):('bule', 'buze'):('Verbe infinitif', 'Verbe infinitif'):('l', 'z')
8813:('bouler', 'bouter'):('bule', 'bute'):('Verbe infinitif', 'Verbe infinitif'):('l', 't')
8814:('bouler', 'buller'):('bule', 'byle'):('Verbe infinitif', 'Verbe infinitif'):('u', 'y')
8815:('bouler', 'chouler'):('bule', 'ʃule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʃ')
8816:('bouler', 'coulé'):('bule', 'kule'):('Verbe infinitif', 'Nom'):('b', 'k')
8817:('bouler', 'couler'):('bule', 'kule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
8818:('bouler', 'fouler'):('bule', 'fule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
8819:('bouler', 'fuller'):('bule', 'fule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
8820:('bouler', 'iouler'):('bule', 'jule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'j')
8821:('bouler', 'mouler'):('bule', 'mule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'm')
8822:('bouler', 'mouller'):('bule', 'mule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'm')
8823:('bouler', 'pooler'):('bule', 'pule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8824:('bouler', 'pouler'):('bule', 'pule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8825:('bouler', 'puller'):('bule', 'pule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8826:('bouler', 'roulé'):('bule', 'ʁule'):('Verbe infinitif', 'Nom'):('b', 'ʁ')
8827:('bouler', 'rouler'):('bule', 'ʁule'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
8828:('bouler', 'saouler'):('bule', 'sule'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
8829:('bouler', 'soûler'):('bule', 'sule'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
8830:('bouler', 'souler'):('bule', 'sule'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
8831:('boulet', 'boulon'):('bulɛ', 'bulɔ̃'):('Nom', 'Nom'):('ɛ', 'ɔ̃')
8832:('boulet', 'boulot'):('bulɛ', 'bulo'):('Nom', 'Nom'):('ɛ', 'o')
8833:('boulet', 'bouquet'):('bulɛ', 'bukɛ'):('Nom', 'Nom'):('l', 'k')
8834:('boulet', 'bouquin'):('bulɛ', 'bukɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8835:('boulet', 'bourret'):('bulɛ', 'buʁɛ'):('Nom', 'Nom'):('l', 'ʁ')
8836:('boulet', 'bourrin'):('bulɛ', 'buʁɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8837:('boulet', 'bousin'):('bulɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8838:('boulet', 'bouvet'):('bulɛ', 'buvɛ'):('Nom', 'Nom'):('l', 'v')
8839:('boulet', 'bouzin'):('bulɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8840:('boulet', 'goulet'):('bulɛ', 'gulɛ'):('Nom', 'Nom'):('b', 'g')
8841:('boulet', 'moulet'):('bulɛ', 'mulɛ'):('Nom', 'Nom'):('b', 'm')
8842:('boulet', 'moulin'):('bulɛ', 'mulɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8843:('boulet', 'poulain'):('bulɛ', 'pulɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8844:('boulet', 'poulet'):('bulɛ', 'pulɛ'):('Nom', 'Nom'):('b', 'p')
8845:('boulet', 'poulin'):('bulɛ', 'pulɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8846:('boulet', 'roulet'):('bulɛ', 'ʁulɛ'):('Nom', 'Nom'):('b', 'ʁ')
8847:('bouleur', 'bouteur'):('bulœʁ', 'butœʁ'):('Nom', 'Nom'):('l', 't')
8848:('bouleur', 'mouleur'):('bulœʁ', 'mulœʁ'):('Nom', 'Nom'):('b', 'm')
8849:('bouleur', 'pouleur'):('bulœʁ', 'pulœʁ'):('Nom', 'Nom'):('b', 'p')
8850:('bouleur', 'rouleur'):('bulœʁ', 'ʁulœʁ'):('Nom', 'Nom'):('b', 'ʁ')
8851:('boulevard', 'bouloir'):('bulvaʁ', 'bulwaʁ'):('Nom', 'Nom'):('v', 'w')
8852:('boulier', 'bourier'):('bulje', 'buʁje'):('Nom', 'Nom'):('l', 'ʁ')
8853:('boulier', 'bousier'):('bulje', 'buzje'):('Nom', 'Nom'):('l', 'z')
8854:('boulier', 'bouvier'):('bulje', 'buvje'):('Nom', 'Nom'):('l', 'v')
8855:('boulier', 'poulier'):('bulje', 'pulje'):('Nom', 'Nom'):('b', 'p')
8856:('boulier', 'roulier'):('bulje', 'ʁulje'):('Nom', 'Nom'):('b', 'ʁ')
8857:('boulier', 'soulier'):('bulje', 'sulje'):('Nom', 'Nom'):('b', 's')
8858:('boulin', 'boulon'):('bulɛ̃', 'bulɔ̃'):('Nom', 'Nom'):('ɛ̃', 'ɔ̃')
8859:('boulin', 'boulot'):('bulɛ̃', 'bulo'):('Nom', 'Nom'):('ɛ̃', 'o')
8860:('boulin', 'bouquet'):('bulɛ̃', 'bukɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8861:('boulin', 'bouquin'):('bulɛ̃', 'bukɛ̃'):('Nom', 'Nom'):('l', 'k')
8862:('boulin', 'bourret'):('bulɛ̃', 'buʁɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8863:('boulin', 'bourrin'):('bulɛ̃', 'buʁɛ̃'):('Nom', 'Nom'):('l', 'ʁ')
8864:('boulin', 'bousin'):('bulɛ̃', 'buzɛ̃'):('Nom', 'Nom'):('l', 'z')
8865:('boulin', 'bouvet'):('bulɛ̃', 'buvɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8866:('boulin', 'bouzin'):('bulɛ̃', 'buzɛ̃'):('Nom', 'Nom'):('l', 'z')
8867:('boulin', 'goulet'):('bulɛ̃', 'gulɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8868:('boulin', 'moulet'):('bulɛ̃', 'mulɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8869:('boulin', 'moulin'):('bulɛ̃', 'mulɛ̃'):('Nom', 'Nom'):('b', 'm')
8870:('boulin', 'poulain'):('bulɛ̃', 'pulɛ̃'):('Nom', 'Nom'):('b', 'p')
8871:('boulin', 'poulet'):('bulɛ̃', 'pulɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8872:('boulin', 'poulin'):('bulɛ̃', 'pulɛ̃'):('Nom', 'Nom'):('b', 'p')
8873:('boulin', 'roulet'):('bulɛ̃', 'ʁulɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8874:('bouliste', 'bushiste'):('bulist', 'buʃist'):('Nom', 'Nom'):('l', 'ʃ')
8875:('boulocher', 'boulonner'):('bulɔʃe', 'bulɔne'):('Verbe infinitif', 'Verbe infinitif'):('ʃ', 'n')
8876:('boulocher', 'bouloter'):('bulɔʃe', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('ʃ', 't')
8877:('boulocher', 'boulotter'):('bulɔʃe', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('ʃ', 't')
8878:('bouloir', 'bourroir'):('bulwaʁ', 'buʁwaʁ'):('Nom', 'Nom'):('l', 'ʁ')
8879:('bouloir', 'boutoir'):('bulwaʁ', 'butwaʁ'):('Nom', 'Nom'):('l', 't')
8880:('bouloir', 'couloir'):('bulwaʁ', 'kulwaʁ'):('Nom', 'Nom'):('b', 'k')
8881:('bouloir', 'fouloir'):('bulwaʁ', 'fulwaʁ'):('Nom', 'Nom'):('b', 'f')
8882:('bouloir', 'souloir'):('bulwaʁ', 'sulwaʁ'):('Nom', 'Verbe infinitif'):('b', 's')
8883:('bouloir', 'vouloir'):('bulwaʁ', 'vulwaʁ'):('Nom', 'Verbe infinitif'):('b', 'v')
8884:('boulonnage', 'boutonnage'):('bulɔnaʒ', 'butɔnaʒ'):('Nom', 'Nom'):('l', 't')
8885:('boulonnais', 'boulonner'):('bulɔnɛ', 'bulɔne'):('Nom', 'Verbe infinitif'):('ɛ', 'e')
8886:('boulon', 'boulot'):('bulɔ̃', 'bulo'):('Nom', 'Nom'):('ɔ̃', 'o')
8887:('boulon', 'bouton'):('bulɔ̃', 'butɔ̃'):('Nom', 'Nom'):('l', 't')
8888:('boulon', 'coulomb'):('bulɔ̃', 'kulɔ̃'):('Nom', 'Nom'):('b', 'k')
8889:('boulon', 'foulon'):('bulɔ̃', 'fulɔ̃'):('Nom', 'Nom'):('b', 'f')
8890:('boulon', 'poulot'):('bulɔ̃', 'pulɔ'):('Nom', 'Nom'):('ɔ̃', 'ɔ')
8891:('boulon', 'soûlon'):('bulɔ̃', 'sulɔ̃'):('Nom', 'Nom'):('b', 's')
8892:('boulon', 'soulon'):('bulɔ̃', 'sulɔ̃'):('Nom', 'Nom'):('b', 's')
8893:('boulonner', 'bouloter'):('bulɔne', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('n', 't')
8894:('boulonner', 'boulotter'):('bulɔne', 'bulɔte'):('Verbe infinitif', 'Verbe infinitif'):('n', 't')
8895:('boulonner', 'boutonner'):('bulɔne', 'butɔne'):('Verbe infinitif', 'Verbe infinitif'):('l', 't')
8896:('boulonner', 'foulonner'):('bulɔne', 'fulɔne'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
8897:('bouloter', 'poulotter'):('bulɔte', 'pulɔte'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8898:('bouloter', 'roulotter'):('bulɔte', 'ʁulɔte'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
8899:('boulot', 'bourreau'):('bulo', 'buʁo'):('Nom', 'Nom'):('l', 'ʁ')
8900:('boulot', 'bulot'):('bulo', 'bylo'):('Nom', 'Nom'):('u', 'y')
8901:('boulot', 'goulot'):('bulo', 'gulo'):('Nom', 'Nom'):('b', 'g')
8902:('boulot', 'mouleau'):('bulo', 'mulo'):('Nom', 'Nom'):('b', 'm')
8903:('boulot', 'rouleau'):('bulo', 'ʁulo'):('Nom', 'Nom'):('b', 'ʁ')
8904:('boulot', 'saoulot'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8905:('boulot', 'soûlot'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8906:('boulot', 'soulaud'):('bulo', 'sulo'):('Nom', 'Nom'):('b', 's')
8907:('boulotter', 'poulotter'):('bulɔte', 'pulɔte'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
8908:('boulotter', 'roulotter'):('bulɔte', 'ʁulɔte'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
8909:('boultiner', 'bulletiner'):('bultine', 'byltine'):('Verbe infinitif', 'Verbe infinitif'):('u', 'y')
8910:('boumer', 'bourrer'):('bume', 'buʁe'):('Verbe infinitif', 'Verbe infinitif'):('m', 'ʁ')
8911:('boumer', 'bouser'):('bume', 'buze'):('Verbe infinitif', 'Verbe infinitif'):('m', 'z')
8912:('boumer', 'bouter'):('bume', 'bute'):('Verbe infinitif', 'Verbe infinitif'):('m', 't')
8913:('boumer', 'zoomer'):('bume', 'zume'):('Verbe infinitif', 'Verbe infinitif'):('b', 'z')
8914:('boumer', 'zoumer'):('bume', 'zume'):('Verbe infinitif', 'Verbe infinitif'):('b', 'z')
8915:('boum', 'boure'):('bum', 'buʁ'):('Nom', 'Nom'):('m', 'ʁ')
8916:('boum', 'bourg'):('bum', 'buʁ'):('Nom', 'Nom'):('m', 'ʁ')
8917:('boum', 'bourre'):('bum', 'buʁ'):('Nom', 'Nom'):('m', 'ʁ')
8918:('boum', 'bum'):('bum', 'bɔm'):('Nom', 'Nom'):('u', 'ɔ')
8919:('boum', 'bush'):('bum', 'buʃ'):('Nom', 'Nom'):('m', 'ʃ')
8920:('boum', 'goum'):('bum', 'gum'):('Nom', 'Nom'):('b', 'g')
8921:('boum', 'soum'):('bum', 'sum'):('Nom', 'Nom'):('b', 's')
8922:('boum', 'sum'):('bum', 'sum'):('Nom', 'Nom'):('b', 's')
8923:('boum', 'zoom'):('bum', 'zum'):('Nom', 'Nom'):('b', 'z')
8924:('bouquet', 'bourret'):('bukɛ', 'buʁɛ'):('Nom', 'Nom'):('k', 'ʁ')
8925:('bouquet', 'bourrin'):('bukɛ', 'buʁɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8926:('bouquet', 'bousin'):('bukɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8927:('bouquet', 'bouvet'):('bukɛ', 'buvɛ'):('Nom', 'Nom'):('k', 'v')
8928:('bouquet', 'bouzin'):('bukɛ', 'buzɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8929:('bouquet', 'rouquet'):('bukɛ', 'ʁukɛ'):('Nom', 'Nom'):('b', 'ʁ')
8930:('bouquet', 'rouquin'):('bukɛ', 'ʁukɛ̃'):('Nom', 'Nom'):('ɛ', 'ɛ̃')
8931:('bouquiner', 'bourriner'):('bukine', 'buʁine'):('Verbe infinitif', 'Verbe infinitif'):('k', 'ʁ')
8932:('bouquin', 'bourret'):('bukɛ̃', 'buʁɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8933:('bouquin', 'bourrin'):('bukɛ̃', 'buʁɛ̃'):('Nom', 'Nom'):('k', 'ʁ')
8934:('bouquin', 'bousin'):('bukɛ̃', 'buzɛ̃'):('Nom', 'Nom'):('k', 'z')
8935:('bouquin', 'bouvet'):('bukɛ̃', 'buvɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8936:('bouquin', 'bouzin'):('bukɛ̃', 'buzɛ̃'):('Nom', 'Nom'):('k', 'z')
8937:('bouquin', 'rouquet'):('bukɛ̃', 'ʁukɛ'):('Nom', 'Nom'):('ɛ̃', 'ɛ')
8938:('bouquin', 'rouquin'):('bukɛ̃', 'ʁukɛ̃'):('Nom', 'Nom'):('b', 'ʁ')
8939:('bourane', 'bourrage'):('buʁan', 'buʁaʒ'):('Nom', 'Nom'):('n', 'ʒ')
8940:('bourbier', 'boursier'):('buʁbje', 'buʁsje'):('Nom', 'Nom'):('b', 's')
8941:('bourbier', 'tourbier'):('buʁbje', 'tuʁbje'):('Nom', 'Nom'):('b', 't')
